productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extDescription,extCardType,extCardSubtype,extElement,extClass,extReserveCost,extSpeed,extFlavorText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extPower,extLife,extMemoryCost,extLevel,extDurability
494151,"Arthur, Young Heir",Arthur Young Heir,https://tcgplayer-cdn.tcgplayer.com/product/494151_200w.jpg,74,23123,https://cpt.tcgcsv.com/2HZ5,2023-04-28T04:03:10.867,1,Super Rare,118,"On Enter: You may rest Arthur. If you do, Arthur gains immortality until the beginning of your next turn. (A unit with immortality can't die.)<br>As long as Arthur is rested, other allies you control get +1 power.",Ally;Unique,Human,Fire,Warrior,4,,,48.99,49.97,50.0,22.4,,Normal,2,3,,,
494152,Artificer's Opus,Artificers Opus,https://tcgplayer-cdn.tcgplayer.com/product/494152_200w.jpg,74,23123,https://cpt.tcgcsv.com/3HZ5,2023-04-28T04:03:10.867,1,Super Rare,267,[Class Bonus] Efficiency (This card costs LV less to activate.)<br>Artificer's Opus enters the field rested.<br>Cleave (This ally attacks all units a chosen opponent controls. Its attacks can't be intercepted.),Ally,Construct;Golem,Tera,Tamer,8,,,0.54,1.59,10.0,1.17,,Normal,4,8,,,
494152,Artificer's Opus,Artificers Opus,https://tcgplayer-cdn.tcgplayer.com/product/494152_200w.jpg,74,23123,https://cpt.tcgcsv.com/3HZ5,2023-04-28T04:03:10.867,1,Super Rare,267,[Class Bonus] Efficiency (This card costs LV less to activate.)<br>Artificer's Opus enters the field rested.<br>Cleave (This ally attacks all units a chosen opponent controls. Its attacks can't be intercepted.),Ally,Construct;Golem,Tera,Tamer,8,,,179.99,189.97,199.95,,,Foil,4,8,,,
494153,Assassin's Ripper,Assassins Ripper,https://tcgplayer-cdn.tcgplayer.com/product/494153_200w.jpg,74,23123,https://cpt.tcgcsv.com/5HZ5,2023-04-28T04:03:10.867,1,Common,020,"[Class Bonus] REST, Remove a preparation counter from your champion: Assassin's Ripper gets +2 power until end of turn.",Weapon;Regalia,Dagger,Norm,Assassin,,,"<em>As menacing as it is sharp, this dagger is most useful in the hands of an assassin. <br></em>",0.11,0.32,0.5,0.27,,Normal,1,,1,,2
494153,Assassin's Ripper,Assassins Ripper,https://tcgplayer-cdn.tcgplayer.com/product/494153_200w.jpg,74,23123,https://cpt.tcgcsv.com/5HZ5,2023-04-28T04:03:10.867,1,Common,020,"[Class Bonus] REST, Remove a preparation counter from your champion: Assassin's Ripper gets +2 power until end of turn.",Weapon;Regalia,Dagger,Norm,Assassin,,,"<em>As menacing as it is sharp, this dagger is most useful in the hands of an assassin. <br></em>",27.0,27.99,30.97,27.22,,Foil,1,,1,,2
494155,Attune with the Winds,Attune with the Winds,https://tcgplayer-cdn.tcgplayer.com/product/494155_200w.jpg,74,23123,https://cpt.tcgcsv.com/7HZ5,2023-04-28T04:03:10.867,1,Rare,200,"Put a buff counter on each ally you control. (Allies get +1 power and +1 life for each buff counter on them.)<br>[Class Bonus] Harmonize — If you've activated a Melody card this turn, draw a card.",Action,Harmony;Skill,Wind,Tamer,3,Slow,,5.74,5.8,7.0,3.43,,Normal,,,,,
494155,Attune with the Winds,Attune with the Winds,https://tcgplayer-cdn.tcgplayer.com/product/494155_200w.jpg,74,23123,https://cpt.tcgcsv.com/7HZ5,2023-04-28T04:03:10.867,1,Rare,200,"Put a buff counter on each ally you control. (Allies get +1 power and +1 life for each buff counter on them.)<br>[Class Bonus] Harmonize — If you've activated a Melody card this turn, draw a card.",Action,Harmony;Skill,Wind,Tamer,3,Slow,,150.0,150.0,150.0,,,Foil,,,,,
494156,"Avalon, Cursed Isle",Avalon Cursed Isle,https://tcgplayer-cdn.tcgplayer.com/product/494156_200w.jpg,74,23123,https://cpt.tcgcsv.com/8HZ5,2023-04-28T04:03:10.867,1,Super Rare,160,"Upkeep — Whenever you materialize a card, sacrifice Avalon.<br>Whenever you activate a water element card, target player puts the top two cards of their deck into their graveyard.",Domain;Unique,Isle,Water,Mage,4,,"<em>What once was a paradise, now lies desecrated.</em>",3.98,4.75,7.99,6.94,,Normal,,,,,
494158,Backstab,Backstab,https://tcgplayer-cdn.tcgplayer.com/product/494158_200w.jpg,74,23123,https://cpt.tcgcsv.com/bHZ5,2023-04-28T04:03:10.867,1,Common,070,"[Class Bonus] As long as your champion is attacking a rested unit, Backstab gets +2 power.",Attack,Dagger,Norm,Assassin,2,,<em>Never let an assassin out of your sight.</em>,24.99,24.99,26.15,,,Foil,2,,,,
494158,Backstab,Backstab,https://tcgplayer-cdn.tcgplayer.com/product/494158_200w.jpg,74,23123,https://cpt.tcgcsv.com/bHZ5,2023-04-28T04:03:10.867,1,Common,070,"[Class Bonus] As long as your champion is attacking a rested unit, Backstab gets +2 power.",Attack,Dagger,Norm,Assassin,2,,<em>Never let an assassin out of your sight.</em>,0.1,0.25,0.5,0.2,,Normal,2,,,,
494159,Banner Knight,Banner Knight,https://tcgplayer-cdn.tcgplayer.com/product/494159_200w.jpg,74,23123,https://cpt.tcgcsv.com/cHZ5,2023-04-28T04:03:10.867,1,Common,071,[Class Bonus] [Level 2+] Other allies and weapons you control get +1 power. (Apply this effect only if your champion's class matches this card's class and only if your champion is level 2 or higher.),Ally,Human,Norm,Warrior,2,,<em>Standards raised behind capable leaders often instill courage in those that march astride.</em>,30.0,35.0,39.99,,,Foil,1,3,,,
494159,Banner Knight,Banner Knight,https://tcgplayer-cdn.tcgplayer.com/product/494159_200w.jpg,74,23123,https://cpt.tcgcsv.com/cHZ5,2023-04-28T04:03:10.867,1,Common,071,[Class Bonus] [Level 2+] Other allies and weapons you control get +1 power. (Apply this effect only if your champion's class matches this card's class and only if your champion is level 2 or higher.),Ally,Human,Norm,Warrior,2,,<em>Standards raised behind capable leaders often instill courage in those that march astride.</em>,0.1,0.25,0.5,0.2,,Normal,1,3,,,
494161,Barrier Servant,Barrier Servant,https://tcgplayer-cdn.tcgplayer.com/product/494161_200w.jpg,74,23123,https://cpt.tcgcsv.com/fHZ5,2023-04-28T04:03:10.867,1,Common,072,"Intercept (Whenever your champion is attacked while this ally is awake, you may redirect that attack to this ally.)<br>Remove two enlighten counters from your champion: The next time damage would be dealt to Barrier Servant this turn, prevent that damage.",Ally,Human,Norm,Cleric;Mage,3,,,0.1,0.43,0.75,,,Normal,2,2,,,
494161,Barrier Servant,Barrier Servant,https://tcgplayer-cdn.tcgplayer.com/product/494161_200w.jpg,74,23123,https://cpt.tcgcsv.com/fHZ5,2023-04-28T04:03:10.867,1,Common,072,"Intercept (Whenever your champion is attacked while this ally is awake, you may redirect that attack to this ally.)<br>Remove two enlighten counters from your champion: The next time damage would be dealt to Barrier Servant this turn, prevent that damage.",Ally,Human,Norm,Cleric;Mage,3,,,39.99,39.99,43.25,,,Foil,2,2,,,
494164,Bauble of Abundance,Bauble of Abundance,https://tcgplayer-cdn.tcgplayer.com/product/494164_200w.jpg,74,23123,https://cpt.tcgcsv.com/jHZ5,2023-04-28T04:03:10.867,1,Common,021,Banish Bauble of Abundance: Each player draws a card.,Item;Regalia,Bauble,Norm,Cleric,,,"<em>Glittering trinkets, coins, and treasures. Plenty enough to be shared among friend and foe alike.</em>",20.94,20.95,20.95,,,Foil,,,0,,
494164,Bauble of Abundance,Bauble of Abundance,https://tcgplayer-cdn.tcgplayer.com/product/494164_200w.jpg,74,23123,https://cpt.tcgcsv.com/jHZ5,2023-04-28T04:03:10.867,1,Common,021,Banish Bauble of Abundance: Each player draws a card.,Item;Regalia,Bauble,Norm,Cleric,,,"<em>Glittering trinkets, coins, and treasures. Plenty enough to be shared among friend and foe alike.</em>",0.12,0.28,0.5,0.25,,Normal,,,0,,
494165,Bauble of Mending,Bauble of Mending,https://tcgplayer-cdn.tcgplayer.com/product/494165_200w.jpg,74,23123,https://cpt.tcgcsv.com/kHZ5,2023-04-28T04:03:10.867,1,Rare,022,Banish Bauble of Mending: Draw a card. Class Bonus: Up to one target non-Human ally you control gets +1 life until end of turn. (Apply the additional effect only if your champion's class matches this card's class.),Item;Regalia,Bauble,Norm,Tamer,,,<em>Nature's grace soothes most minor injuries.</em>,0.48,0.82,3.0,,,Normal,,,1,,
494167,Beastbond Boots,Beastbond Boots,https://tcgplayer-cdn.tcgplayer.com/product/494167_200w.jpg,74,23123,https://cpt.tcgcsv.com/mHZ5,2023-04-28T04:03:10.867,1,Uncommon,023,Banish Beastbond Paws: Your champion gains spellshroud until end of turn. Activate this ability only if you control an Animal or Beast ally. (Units with spellshroud can't be targeted by Spells.),Item;Regalia,Accessory,Norm,Tamer,,,<em>A tamer's bond with their beast goes beyond simple empathy.</em>,39.0,39.5,39.99,,,Foil,,,0,,
494167,Beastbond Boots,Beastbond Boots,https://tcgplayer-cdn.tcgplayer.com/product/494167_200w.jpg,74,23123,https://cpt.tcgcsv.com/mHZ5,2023-04-28T04:03:10.867,1,Uncommon,023,Banish Beastbond Paws: Your champion gains spellshroud until end of turn. Activate this ability only if you control an Animal or Beast ally. (Units with spellshroud can't be targeted by Spells.),Item;Regalia,Accessory,Norm,Tamer,,,<em>A tamer's bond with their beast goes beyond simple empathy.</em>,0.15,0.25,0.55,0.25,,Normal,,,0,,
494168,Beastbond Ears,Beastbond Ears,https://tcgplayer-cdn.tcgplayer.com/product/494168_200w.jpg,74,23123,https://cpt.tcgcsv.com/nHZ5,2023-04-28T04:03:10.867,1,Common,024,Your champion gets +1 level as long as you control an Animal or Beast ally.,Item;Regalia,Accessory,Norm,Tamer,,,<em>The easiest way to gain a beast's favor is to first look like them.</em>,34.98,34.99,34.99,,,Foil,,,0,,
494168,Beastbond Ears,Beastbond Ears,https://tcgplayer-cdn.tcgplayer.com/product/494168_200w.jpg,74,23123,https://cpt.tcgcsv.com/nHZ5,2023-04-28T04:03:10.867,1,Common,024,Your champion gets +1 level as long as you control an Animal or Beast ally.,Item;Regalia,Accessory,Norm,Tamer,,,<em>The easiest way to gain a beast's favor is to first look like them.</em>,0.1,0.25,0.5,0.25,,Normal,,,0,,
494169,Beastbond Paws,Beastbond Paws,https://tcgplayer-cdn.tcgplayer.com/product/494169_200w.jpg,74,23123,https://cpt.tcgcsv.com/pHZ5,2023-04-28T04:03:10.867,1,Common,025,Banish Beastbond Paws: Target Animal or Beast ally you control gets +1 power and gains true sight until end of turn. (Units with true sight can attack units with stealth.),Item;Regalia,Accessory,Norm,Tamer,,,<em>A beast's ferocity and a tamer's guidance make for a formidable combination.</em>,0.1,0.25,0.5,0.2,,Normal,,,0,,
494169,Beastbond Paws,Beastbond Paws,https://tcgplayer-cdn.tcgplayer.com/product/494169_200w.jpg,74,23123,https://cpt.tcgcsv.com/pHZ5,2023-04-28T04:03:10.867,1,Common,025,Banish Beastbond Paws: Target Animal or Beast ally you control gets +1 power and gains true sight until end of turn. (Units with true sight can attack units with stealth.),Item;Regalia,Accessory,Norm,Tamer,,,<em>A beast's ferocity and a tamer's guidance make for a formidable combination.</em>,29.9,29.95,29.99,,,Foil,,,0,,
494170,Benevolent Battle Priest,Benevolent Battle Priest,https://tcgplayer-cdn.tcgplayer.com/product/494170_200w.jpg,74,23123,https://cpt.tcgcsv.com/qHZ5,2023-04-28T04:03:10.867,1,Uncommon,161,"[Class Bonus] On Attack: Recover 1. (To recover, remove that many damage counters from your champion.)",Ally,Human,Water,Warrior;Cleric,3,,<em>Tending to the blood-soaked fields of Cambria is not for the faint of heart.</em>,0.15,0.4,0.5,0.49,,Normal,1,4,,,
494170,Benevolent Battle Priest,Benevolent Battle Priest,https://tcgplayer-cdn.tcgplayer.com/product/494170_200w.jpg,74,23123,https://cpt.tcgcsv.com/qHZ5,2023-04-28T04:03:10.867,1,Uncommon,161,"[Class Bonus] On Attack: Recover 1. (To recover, remove that many damage counters from your champion.)",Ally,Human,Water,Warrior;Cleric,3,,<em>Tending to the blood-soaked fields of Cambria is not for the faint of heart.</em>,39.99,45.85,51.7,,,Foil,1,4,,,
494172,Beseech the Winds,Beseech the Winds,https://tcgplayer-cdn.tcgplayer.com/product/494172_200w.jpg,74,23123,https://cpt.tcgcsv.com/sHZ5,2023-04-28T04:03:10.867,1,Super Rare,201,Materialize a card from your material deck. (You still pay for its costs.),Action,Spell,Wind,Cleric;Mage,3,Slow,<em>Camelot's splendor arises from the blessing of the winds.</em>,68.99,69.49,69.99,21.21,,Normal,,,,,
494172,Beseech the Winds,Beseech the Winds,https://tcgplayer-cdn.tcgplayer.com/product/494172_200w.jpg,74,23123,https://cpt.tcgcsv.com/sHZ5,2023-04-28T04:03:10.867,1,Super Rare,201,Materialize a card from your material deck. (You still pay for its costs.),Action,Spell,Wind,Cleric;Mage,3,Slow,<em>Camelot's splendor arises from the blessing of the winds.</em>,229.99,229.99,229.99,,,Foil,,,,,
494176,Blackmarket Broker,Blackmarket Broker,https://tcgplayer-cdn.tcgplayer.com/product/494176_200w.jpg,74,23123,https://cpt.tcgcsv.com/xHZ5,2023-04-28T04:03:10.867,1,Common,202,On Enter: Put a preparation counter on your champion.<br>Blackmarket Broker has stealth as long as your champion has three or more preparation counters on them.,Ally,Human,Wind,Assassin,4,,,0.12,0.38,0.5,0.26,,Normal,2,3,,,
494176,Blackmarket Broker,Blackmarket Broker,https://tcgplayer-cdn.tcgplayer.com/product/494176_200w.jpg,74,23123,https://cpt.tcgcsv.com/xHZ5,2023-04-28T04:03:10.867,1,Common,202,On Enter: Put a preparation counter on your champion.<br>Blackmarket Broker has stealth as long as your champion has three or more preparation counters on them.,Ally,Human,Wind,Assassin,4,,,69.99,69.99,69.99,,,Foil,2,3,,,
494179,Blazing Direwolf,Blazing Direwolf,https://tcgplayer-cdn.tcgplayer.com/product/494179_200w.jpg,74,23123,https://cpt.tcgcsv.com/CHZ5,2023-04-28T04:03:10.867,1,Uncommon,119,Pride 5 (This ally won't obey you unless your champion is level 5 or higher.)<br>[Class Bonus] On Attack: Deal 2 damage to target unit. (Apply this effect only if your champion's class matches this card's class.),Ally,Beast;Wolf,Fire,Tamer,4,,,0.15,0.23,0.5,0.33,,Normal,4,4,,,
494179,Blazing Direwolf,Blazing Direwolf,https://tcgplayer-cdn.tcgplayer.com/product/494179_200w.jpg,74,23123,https://cpt.tcgcsv.com/CHZ5,2023-04-28T04:03:10.867,1,Uncommon,119,Pride 5 (This ally won't obey you unless your champion is level 5 or higher.)<br>[Class Bonus] On Attack: Deal 2 damage to target unit. (Apply this effect only if your champion's class matches this card's class.),Ally,Beast;Wolf,Fire,Tamer,4,,,28.98,28.98,29.95,,,Foil,4,4,,,
494181,Blazing Throw,Blazing Throw,https://tcgplayer-cdn.tcgplayer.com/product/494181_200w.jpg,74,23123,https://cpt.tcgcsv.com/FHZ5,2023-04-28T04:03:10.867,1,Common,120,"As an additional cost to activate this card, sacrifice a weapon you control.<br>Deal 4 damage to target unit.",Action,Skill,Fire,Warrior,1,Slow,<em>Tossing away your weapon is either stupid or genius with little room in between.</em>,0.12,0.25,0.5,0.3,,Normal,,,,,
494181,Blazing Throw,Blazing Throw,https://tcgplayer-cdn.tcgplayer.com/product/494181_200w.jpg,74,23123,https://cpt.tcgcsv.com/FHZ5,2023-04-28T04:03:10.867,1,Common,120,"As an additional cost to activate this card, sacrifice a weapon you control.<br>Deal 4 damage to target unit.",Action,Skill,Fire,Warrior,1,Slow,<em>Tossing away your weapon is either stupid or genius with little room in between.</em>,23.98,23.98,24.99,,,Foil,,,,,
494182,Blinding Orb,Blinding Orb,https://tcgplayer-cdn.tcgplayer.com/product/494182_200w.jpg,74,23123,https://cpt.tcgcsv.com/GHZ5,2023-04-28T04:03:10.867,1,Rare,026,Banish Blinding Orb: Each opponent puts two cards from their hand into their memory. Class Bonus: Draw a card. (Apply the additional effect only if your champion's class matches this card's class.),Item;Regalia,Bauble,Norm,Assassin,,,"<em>A useful tool, both in flight and fight.</em>",0.99,1.0,2.0,0.93,,Normal,,,1,,
494183,Blissful Calling,Blissful Calling,https://tcgplayer-cdn.tcgplayer.com/product/494183_200w.jpg,74,23123,https://cpt.tcgcsv.com/HHZ5,2023-04-28T04:03:10.867,1,Common,073,Look at the top five cards of your deck. You may reveal an Animal or Beast card from among them and put it into your hand. Put the rest on the bottom of your deck in any order.,Action,Melody;Skill,Norm,Tamer,1,Slow,<em>Sincere tunes can draw in even the wariest of beasts.</em>,40.0,49.98,49.99,,,Foil,,,,,
